name | address | city | state | zip | lat | lng | website | affiliation
Gracie Barra Downey | 8043 2nd St Ste 101 | Downey | CA | 90241 | 33.9446 | -118.1295 | https://graciebarra.com/downey-ca/ | Gracie Barra
Tillis Brazilian Jiu-Jitsu | 13367 Whittier Blvd | Whittier | CA | 90605 | 33.9763 | -118.0370 | https://www.tillisbjj.com |
Gracie Barra Whittier | 13595 Whittier Blvd #104 | Whittier | CA | 90605 | 33.9765 | -118.0300 | https://graciebarrawhittier.com | Gracie Barra
Logic Brazilian Jiu-Jitsu Pasadena | 117 W Bellevue Ave Unit 2 | Pasadena | CA | 91105 | 34.1373 | -118.1534 | https://logicjj.com/pasadena-ca/ |
Jiu-Jitsu Kaizen | 1101 Mission St | South Pasadena | CA | 91030 | 34.1066 | -118.1543 | https://jiu-jitsukaizen.com |
Gracie Barra Pasadena | 8953 Duarte Rd | San Gabriel | CA | 91775 | 34.1058 | -118.0818 | https://graciebarra.com/pasadena-ca/ | Gracie Barra
Roger Machado Jiu-Jitsu | 977 E Colorado Blvd #2 | Pasadena | CA | 91106 | 34.1457 | -118.1300 | http://www.rogermachado.com |
Legacy BJJ Pasadena | 2560 E Colorado Blvd | Pasadena | CA | 91107 | 34.1457 | -118.1030 | https://www.legacybjj.com |
GFTeam Covina | 4706 N Grand Ave | Covina | CA | 91724 | 34.1021 | -117.8812 | https://www.gfteamcovina.com | GF Team
Gracie Barra West Covina | 1011 N Azusa Ave | Covina | CA | 91722 | 34.0972 | -117.9127 | https://graciebarra.com/west-covina-ca/ | Gracie Barra
10th Planet Covina | 1050 N Citrus Ave | Covina | CA | 91722 | 34.0981 | -117.8862 | https://10thplanetcovina.com | 10th Planet
Gracie Barra Diamond Bar | 1273 S Diamond Bar Blvd | Diamond Bar | CA | 91765 | 33.9976 | -117.8092 | https://graciebarra.com/diamond-bar-ca/ | Gracie Barra
Higher Ground BJJ | 19237 Colima Rd | Rowland Heights | CA | 91748 | 33.9876 | -117.8753 | https://hgbjj.com |
Hurricane BJJ | 1281 N Gene Autry Trail #D | Palm Springs | CA | 92262 | 33.8382 | -116.5369 | https://www.hurricanebjj.com |
CVBJJ (Coachella Valley Judo and BJJ) | 75150 Sheryl Ave | Palm Desert | CA | 92211 | 33.7513 | -116.3412 | https://cvbjj.com |
Gracie Barra Palm Desert | 39615 Washington St Unit F | Palm Desert | CA | 92211 | 33.7417 | -116.3612 | https://graciebarra.com/palm-desert-ca/ | Gracie Barra
Roll Dogs Jiu Jitsu | 67555 E Palm Canyon Dr Ste F107 | Cathedral City | CA | 92234 | 33.7651 | -116.4588 | https://rolldogsjj.com |
Kihon MMA | 12580 Palm Dr | Desert Hot Springs | CA | 92240 | 33.9607 | -116.5433 | https://kihonmmaca.com |
Gracie Barra Riverside | 2050 E La Cadena Dr Unit G | Riverside | CA | 92507 | 33.9701 | -117.3543 | https://graciebarra.com/riverside-ca/ | Gracie Barra
Adrenaline Martial Arts and Fitness | 1465 S D St Suite 100 | San Bernardino | CA | 92408 | 34.0860 | -117.2880 | https://www.adrenalinefc.com |
Gracie Barra Redlands | 24656 Redlands Blvd | San Bernardino | CA | 92408 | 34.0705 | -117.2590 | https://graciebarra.com/redlands-ca/ | Gracie Barra
One Jiu Jitsu Redlands | 310 Alabama St | Redlands | CA | 92373 | 34.0525 | -117.1818 | https://www.redlandsbjj.com |
Cobrinha BJJ San Bernardino | 998 N D St Unit A-19 | San Bernardino | CA | 92410 | 34.1200 | -117.2960 | https://www.cobrinhabjjsanbernardino.com | Alliance
Sampa Brazilian Jiu Jitsu Fontana | 14189 E Foothill Blvd | Fontana | CA | 92335 | 34.1076 | -117.4179 | https://sampabrazilianjiujitsu.com |
Gracie Barra Rancho Cucamonga | 9259 Utica Ave #125 | Rancho Cucamonga | CA | 91730 | 34.1069 | -117.5737 | https://gbranchocucamonga.com | Gracie Barra
JV Jiu Jitsu Academy | 9816 Crescent Center Dr #701 | Rancho Cucamonga | CA | 91730 | 34.1100 | -117.5642 | https://jiujitsuranchocucamonga.com |
Millennia MMA | 8423 Rochester Ave #102 | Rancho Cucamonga | CA | 91730 | 34.1155 | -117.5546 | https://www.millenniamma.com |
EDJ School of Jiu-Jitsu Rancho | 9359 Foothill Blvd Unit A | Rancho Cucamonga | CA | 91730 | 34.1098 | -117.5765 | https://www.edjacademy.com |
Gracie Barra Upland | 1131 W 9th St | Upland | CA | 91786 | 34.1059 | -117.6612 | https://gbupland.com | Gracie Barra
Lucas Leite BJJ (Checkmat) | 725 W Foothill Blvd | Upland | CA | 91786 | 34.1078 | -117.6560 | https://lucasleitebjjca.com | Checkmat
UCS - Carlson Gracie Claremont | 1242 Monte Vista Ave Ste 13 | Upland | CA | 91786 | 34.1012 | -117.6450 | | Carlson Gracie
Sektor Jiu Jitsu Corona | 511 N Main St Ste 101 | Corona | CA | 92880 | 33.8857 | -117.5669 | https://www.sektorcorona.com |
Crown Jiu-Jitsu | 320 S Main St Ste 102 | Corona | CA | 92882 | 33.8702 | -117.5657 | https://crownjiujitsuca.com |
No Borders BJJ (Cobrinha) | 2780 Cabot Dr Bldg 5 Ste 165 | Corona | CA | 92883 | 33.8404 | -117.5224 | https://www.nobordersbjj.com | Alliance
Checkmat Corona | 211 DuPont Ste 101 | Corona | CA | 92879 | 33.8779 | -117.5547 | https://www.coronabjj.net | Checkmat
Gracie Barra Corona | 280 Teller St Unit 100 | Corona | CA | 92879 | 33.8752 | -117.5506 | https://graciebarra.com/corona-ca/ | Gracie Barra
Phenom Brazilian Jiu Jitsu | 17811 Sky Park Cir Ste E | Irvine | CA | 92614 | 33.6867 | -117.8425 | https://www.phenomjiujitsu.com |
Carlson Gracie Irvine | 544 E 1st St | Tustin | CA | 92780 | 33.7450 | -117.8127 | https://www.carlsongracie-irvine.com | Carlson Gracie
10th Planet Costa Mesa | 3771 S Plaza Dr | Santa Ana | CA | 92704 | 33.7066 | -117.8851 | https://www.10pcostamesa.com | 10th Planet
Praia BJJ | 1125 Victoria St Ste T | Costa Mesa | CA | 92627 | 33.6512 | -117.9136 | https://www.praiabjj.com |
Gracie Barra Costa Mesa | 1304 Logan Ave Ste J | Costa Mesa | CA | 92626 | 33.6747 | -117.9090 | https://www.gbcostamesa.com | Gracie Barra
Gracie Barra Huntington Beach | 6423 Edinger Ave | Huntington Beach | CA | 92647 | 33.7519 | -117.9716 | https://graciebarrahb.com | Gracie Barra
Kings MMA | 7391 Warner Ave | Huntington Beach | CA | 92647 | 33.7235 | -117.9873 | https://kingsmma.com |
Triunfo Jiu-Jitsu & MMA | 2781 W MacArthur Blvd Unit F1 | Santa Ana | CA | 92704 | 33.7061 | -117.9036 | https://www.triunfomma.com |
Ethos Jiu Jitsu Fullerton | 618 N Harbor Blvd Unit A | Fullerton | CA | 92832 | 33.8787 | -117.9209 | https://www.ethosjiujitsu.com |
Brazilian Top Team Fullerton | 400 E Commonwealth Ave #7 | Fullerton | CA | 92832 | 33.8709 | -117.9167 | https://www.bttfullerton.com | Brazilian Top Team
Gracie Barra Santa Ana | 2201 N Tustin Ave | Santa Ana | CA | 92705 | 33.7688 | -117.8291 | https://gbsantaana.com | Gracie Barra
One Jiu Jitsu & Fitness | 544 E 1st St | Tustin | CA | 92780 | 33.7450 | -117.8127 | https://www.onebjjfitness.com |
Gracie Gym Westminster | 6176 Garden Grove Blvd | Westminster | CA | 92683 | 33.7754 | -117.9878 | | Gracie
Brea Jiu-Jitsu | 379 W Central Ave | Brea | CA | 92821 | 33.9168 | -117.9030 | https://breajiujitsu.com |
NOCMA (North Orange County Martial Arts) | 606 S Bradford Ave | Placentia | CA | 92870 | 33.8670 | -117.8610 | https://www.nocmartialarts.com |
Gracie Barra Yorba Linda | 18551 Yorba Linda Blvd | Yorba Linda | CA | 92886 | 33.8870 | -117.7878 | http://www.gbyorbalinda.com | Gracie Barra
Gracie Barra Aliso Viejo | 27062 La Paz Rd | Aliso Viejo | CA | 92656 | 33.5757 | -117.7316 | https://gbalisoviejo.com | Gracie Barra
Gracie Barra Dana Point | 34085 Pacific Coast Hwy Ste 106 | Dana Point | CA | 92629 | 33.4693 | -117.7038 | https://gbdanapoint.com | Gracie Barra
Optimus Brazilian Jiu-Jitsu | 31151 Niguel Rd | Laguna Niguel | CA | 92677 | 33.5319 | -117.7066 | https://optimusbjj.com |
Carlson Gracie Legacy | 21862 Camino Capistrano | Laguna Niguel | CA | 92677 | 33.5218 | -117.7097 | https://www.carlsongracielegacybjj.com | Carlson Gracie
Open Mat Jiu Jitsu | 26923 Fuerte Dr | Lake Forest | CA | 92630 | 33.6409 | -117.6753 | https://www.omjiujitsu.net |
Guillobel Brazilian Jiu-Jitsu | 1021 Calle Recodo Ste A | San Clemente | CA | 92673 | 33.4519 | -117.6182 | https://www.guillobeldojo.com |
Gracie Barra San Clemente | 225 Calle Pintoresco | San Clemente | CA | 92672 | 33.4621 | -117.6332 | https://graciebarra.com/san-clemente-ca/ | Gracie Barra
Fight Strong MMA | 140 Calle De Los Molinos | San Clemente | CA | 92672 | 33.4478 | -117.6245 | https://scfightstrong.com |
